Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2023-2024,ANGU,Henry Angus,432,General,2024-08-11 07:00,2024-08-11 22:00
UBCV,2023-2024,ANGU,Henry Angus,132,Restricted,2024-07-29 07:00,2024-07-29 08:00
UBCV,2023-2024,ANGU,Henry Angus,132,Restricted,2024-07-29 12:00,2024-07-29 22:00
UBCV,2023-2024,ANGU,Henry Angus,132,Restricted,2024-07-30 07:00,2024-07-30 10:00
UBCV,2023-2024,ANGU,Henry Angus,132,Restricted,2024-07-30 12:00,2024-07-30 14:00
UBCV,2023-2024,ANGU,Henry Angus,132,Restricted,2024-07-30 16:00,2024-07-30 22:00
UBCV,2023-2024,ANGU,Henry Angus,132,Restricted,2024-07-31 07:00,2024-07-31 08:00
UBCV,2023-2024,ANGU,Henry Angus,132,Restricted,2024-07-31 12:00,2024-07-31 22:00
UBCV,2023-2024,ANGU,Henry Angus,132,Restricted,2024-08-01 07:00,2024-08-01 10:00
UBCV,2023-2024,ANGU,Henry Angus,132,Restricted,2024-08-01 12:00,2024-08-01 14:00
UBCV,2023-2024,ANGU,Henry Angus,132,Restricted,2024-08-01 16:00,2024-08-01 22:00
UBCV,2023-2024,ANGU,Henry Angus,132,Restricted,2024-08-02 07:00,2024-08-02 22:00
UBCV,2023-2024,ANGU,Henry Angus,132,Restricted,2024-08-03 07:00,2024-08-03 22:00
UBCV,2023-2024,ANGU,Henry Angus,132,Restricted,2024-08-04 07:00,2024-08-04 22:00
UBCV,2023-2024,ANGU,Henry Angus,132,Restricted,2024-08-05 07:00,2024-08-05 08:00
UBCV,2023-2024,ANGU,Henry Angus,132,Restricted,2024-08-05 12:00,2024-08-05 22:00
UBCV,2023-2024,ANGU,Henry Angus,132,Restricted,2024-08-06 07:00,2024-08-06 10:00
UBCV,2023-2024,ANGU,Henry Angus,132,Restricted,2024-08-06 12:00,2024-08-06 14:00
UBCV,2023-2024,ANGU,Henry Angus,132,Restricted,2024-08-06 16:00,2024-08-06 22:00
UBCV,2023-2024,ANGU,Henry Angus,132,Restricted,2024-08-07 07:00,2024-08-07 08:00
UBCV,2023-2024,ANGU,Henry Angus,132,Restricted,2024-08-07 12:00,2024-08-07 22:00
UBCV,2023-2024,ANGU,Henry Angus,132,Restricted,2024-08-08 07:00,2024-08-08 10:00
UBCV,2023-2024,ANGU,Henry Angus,132,Restricted,2024-08-08 12:00,2024-08-08 14:00
UBCV,2023-2024,ANGU,Henry Angus,132,Restricted,2024-08-08 16:00,2024-08-08 22:00
UBCV,2023-2024,ANGU,Henry Angus,132,Restricted,2024-08-09 07:00,2024-08-09 08:00
UBCV,2023-2024,ANGU,Henry Angus,132,Restricted,2024-08-09 12:00,2024-08-09 22:00
UBCV,2023-2024,ANGU,Henry Angus,132,Restricted,2024-08-10 07:00,2024-08-10 22:00
UBCV,2023-2024,ANGU,Henry Angus,132,Restricted,2024-08-11 07:00,2024-08-11 22:00
UBCV,2023-2024,ANGU,Henry Angus,133,Restricted,2024-07-29 07:00,2024-07-29 08:00
UBCV,2023-2024,ANGU,Henry Angus,133,Restricted,2024-07-29 12:00,2024-07-29 22:00
UBCV,2023-2024,ANGU,Henry Angus,133,Restricted,2024-07-30 07:00,2024-07-30 10:00
UBCV,2023-2024,ANGU,Henry Angus,133,Restricted,2024-07-30 12:00,2024-07-30 14:00
UBCV,2023-2024,ANGU,Henry Angus,133,Restricted,2024-07-30 16:00,2024-07-30 22:00
UBCV,2023-2024,ANGU,Henry Angus,133,Restricted,2024-07-31 07:00,2024-07-31 08:00
UBCV,2023-2024,ANGU,Henry Angus,133,Restricted,2024-07-31 12:00,2024-07-31 22:00
UBCV,2023-2024,ANGU,Henry Angus,133,Restricted,2024-08-01 07:00,2024-08-01 10:00
UBCV,2023-2024,ANGU,Henry Angus,133,Restricted,2024-08-01 12:00,2024-08-01 14:00
UBCV,2023-2024,ANGU,Henry Angus,133,Restricted,2024-08-01 16:00,2024-08-01 22:00
UBCV,2023-2024,ANGU,Henry Angus,133,Restricted,2024-08-02 07:00,2024-08-02 22:00
UBCV,2023-2024,ANGU,Henry Angus,133,Restricted,2024-08-03 07:00,2024-08-03 22:00
UBCV,2023-2024,ANGU,Henry Angus,133,Restricted,2024-08-04 07:00,2024-08-04 22:00
UBCV,2023-2024,ANGU,Henry Angus,133,Restricted,2024-08-05 07:00,2024-08-05 08:00
UBCV,2023-2024,ANGU,Henry Angus,133,Restricted,2024-08-05 12:00,2024-08-05 22:00
UBCV,2023-2024,ANGU,Henry Angus,133,Restricted,2024-08-06 07:00,2024-08-06 10:00
UBCV,2023-2024,ANGU,Henry Angus,133,Restricted,2024-08-06 12:00,2024-08-06 14:00
UBCV,2023-2024,ANGU,Henry Angus,133,Restricted,2024-08-06 16:00,2024-08-06 22:00
UBCV,2023-2024,ANGU,Henry Angus,133,Restricted,2024-08-07 07:00,2024-08-07 08:00
UBCV,2023-2024,ANGU,Henry Angus,133,Restricted,2024-08-07 12:00,2024-08-07 22:00
UBCV,2023-2024,ANGU,Henry Angus,133,Restricted,2024-08-08 07:00,2024-08-08 10:00
UBCV,2023-2024,ANGU,Henry Angus,133,Restricted,2024-08-08 12:00,2024-08-08 14:00
UBCV,2023-2024,ANGU,Henry Angus,133,Restricted,2024-08-08 16:00,2024-08-08 22:00
UBCV,2023-2024,ANGU,Henry Angus,133,Restricted,2024-08-09 07:00,2024-08-09 08:00
UBCV,2023-2024,ANGU,Henry Angus,133,Restricted,2024-08-09 12:00,2024-08-09 22:00
UBCV,2023-2024,ANGU,Henry Angus,133,Restricted,2024-08-10 07:00,2024-08-10 22:00
UBCV,2023-2024,ANGU,Henry Angus,133,Restricted,2024-08-11 07:00,2024-08-11 22:00
UBCV,2023-2024,ANGU,Henry Angus,491,Restricted,2024-07-29 07:00,2024-07-29 09:00
UBCV,2023-2024,ANGU,Henry Angus,491,Restricted,2024-07-29 12:00,2024-07-29 22:00
UBCV,2023-2024,ANGU,Henry Angus,491,Restricted,2024-07-30 07:00,2024-07-30 22:00
UBCV,2023-2024,ANGU,Henry Angus,491,Restricted,2024-07-31 07:00,2024-07-31 09:00
UBCV,2023-2024,ANGU,Henry Angus,491,Restricted,2024-07-31 12:00,2024-07-31 22:00
UBCV,2023-2024,ANGU,Henry Angus,491,Restricted,2024-08-01 07:00,2024-08-01 22:00
UBCV,2023-2024,ANGU,Henry Angus,491,Restricted,2024-08-02 07:00,2024-08-02 22:00
UBCV,2023-2024,ANGU,Henry Angus,491,Restricted,2024-08-03 07:00,2024-08-03 22:00
UBCV,2023-2024,ANGU,Henry Angus,491,Restricted,2024-08-04 07:00,2024-08-04 22:00
UBCV,2023-2024,ANGU,Henry Angus,491,Restricted,2024-08-05 07:00,2024-08-05 09:00
UBCV,2023-2024,ANGU,Henry Angus,491,Restricted,2024-08-05 12:00,2024-08-05 22:00
UBCV,2023-2024,ANGU,Henry Angus,491,Restricted,2024-08-06 07:00,2024-08-06 22:00
UBCV,2023-2024,ANGU,Henry Angus,491,Restricted,2024-08-07 07:00,2024-08-07 09:00
UBCV,2023-2024,ANGU,Henry Angus,491,Restricted,2024-08-07 12:00,2024-08-07 22:00
UBCV,2023-2024,ANGU,Henry Angus,491,Restricted,2024-08-08 07:00,2024-08-08 22:00
UBCV,2023-2024,ANGU,Henry Angus,491,Restricted,2024-08-09 07:00,2024-08-09 22:00
UBCV,2023-2024,ANGU,Henry Angus,491,Restricted,2024-08-10 07:00,2024-08-10 22:00
UBCV,2023-2024,ANGU,Henry Angus,491,Restricted,2024-08-11 07:00,2024-08-11 22:00
